tdot_milemarker,time_unix_fix,lane1_speed,lane1_volume,lane1_occ,lane2_speed,lane2_volume,lane2_occ,lane3_speed,lane3_volume,lane3_occ,lane4_speed,lane4_volume,lane4_occ,milemarker
59.0,1720609230.0,50.0,5.0,4.0,54.0,13.0,13.0,51.0,14.0,18.0,48.0,12.0,19.0,59.14
59.0,1720609260.0,52.0,6.0,6.0,50.0,16.0,18.0,46.0,10.0,13.0,42.0,11.0,20.0,59.14
59.0,1720609290.0,48.0,6.0,10.0,47.0,16.0,24.0,43.0,13.0,22.0,42.0,14.0,26.0,59.14
59.0,1720609320.0,49.0,9.0,13.0,50.0,16.0,21.0,49.0,16.0,23.0,47.0,16.0,22.0,59.14
59.0,1720609350.0,54.0,9.0,10.0,51.0,15.0,17.0,50.0,14.0,18.0,48.0,15.0,21.0,59.14
59.0,1720609380.0,54.0,12.0,12.0,53.0,15.0,16.0,50.0,15.0,18.0,51.0,15.0,19.0,59.14
59.0,1720609410.0,55.0,11.0,11.0,53.0,18.0,22.0,50.0,14.0,20.0,47.0,13.0,21.0,59.14
59.0,1720609440.0,54.0,8.0,7.0,55.0,15.0,17.0,50.0,15.0,18.0,48.0,17.0,26.0,59.14
59.0,1720609470.0,52.0,12.0,17.0,55.0,14.0,16.0,52.0,13.0,14.0,52.0,14.0,21.0,59.14
59.0,1720609500.0,60.0,14.0,16.0,58.0,16.0,15.0,55.0,14.0,15.0,53.0,10.0,15.0,59.14
59.0,1720609530.0,61.0,14.0,13.0,56.0,13.0,13.0,55.0,13.0,16.0,54.0,14.0,17.0,59.14
59.0,1720609560.0,58.0,13.0,15.0,56.0,16.0,16.0,54.0,13.0,14.0,52.0,15.0,20.0,59.14
59.0,1720609590.0,56.0,10.0,9.0,54.0,12.0,13.0,50.0,12.0,14.0,50.0,12.0,19.0,59.14
59.0,1720609620.0,53.0,12.0,14.0,53.0,16.0,18.0,51.0,12.0,16.0,50.0,16.0,21.0,59.14
59.0,1720609650.0,53.0,8.0,7.0,54.0,14.0,17.0,50.0,14.0,16.0,47.0,13.0,19.0,59.14
59.0,1720609680.0,48.0,13.0,17.0,46.0,16.0,20.0,44.0,12.0,20.0,42.0,10.0,13.0,59.14
59.0,1720609710.0,36.0,11.0,23.0,27.0,11.0,34.0,29.0,9.0,35.0,30.0,9.0,27.0,59.14
59.0,1720609740.0,24.0,3.0,11.0,15.0,5.0,57.0,22.0,9.0,47.0,25.0,11.0,36.0,59.14
59.0,1720609770.0,25.0,10.0,21.0,28.0,14.0,32.0,27.0,9.0,28.0,26.0,11.0,27.0,59.14
59.0,1720609800.0,34.0,11.0,22.0,37.0,13.0,21.0,30.0,10.0,39.0,25.0,12.0,30.0,59.14
59.0,1720609830.0,35.0,13.0,33.0,43.0,10.0,14.0,34.0,9.0,18.0,26.0,7.0,28.0,59.14
59.0,1720609860.0,47.0,11.0,13.0,43.0,12.0,17.0,41.0,14.0,26.0,35.0,9.0,21.0,59.14
59.0,1720609890.0,46.0,8.0,7.0,44.0,14.0,20.0,41.0,13.0,27.0,41.0,15.0,21.0,59.14
59.0,1720609920.0,48.0,10.0,10.0,49.0,14.0,18.0,41.0,13.0,20.0,40.0,16.0,27.0,59.14
59.0,1720609950.0,49.0,6.0,7.0,48.0,13.0,16.0,44.0,11.0,17.0,43.0,16.0,34.0,59.14
59.0,1720609980.0,43.0,16.0,20.0,50.0,17.0,18.0,45.0,14.0,25.0,42.0,12.0,21.0,59.14
59.0,1720610010.0,44.0,12.0,14.0,47.0,15.0,18.0,48.0,15.0,19.0,42.0,16.0,23.0,59.14
59.0,1720610040.0,50.0,10.0,10.0,49.0,14.0,16.0,42.0,13.0,22.0,40.0,16.0,26.0,59.14
